date,monthly_sales,lag_1,lag_2,lag_7,lag_14,lag_30,roll_7,roll_30,volatility
2016-07-23,1016730545341.9354,1016860022709.6774,1016989500077.4193,1017636886916.129,1018543228490.3226,1020642860160.0,1017118977445.1613,1018610766552.7742,279703082.2216667
2016-07-24,1016601067974.1936,1016730545341.9354,1016860022709.6774,1017507409548.3871,1018413751122.5807,1020509383680.0,1016989500077.4193,1018480489362.5806,279703082.2216973
2016-07-25,1016471590606.4517,1016601067974.1936,1016730545341.9354,1017377932180.6451,1018284273754.8387,1020375907200.0,1016860022709.6775,1018350345476.129,279703082.2217279
2016-07-26,1016342113238.7097,1016471590606.4517,1016601067974.1936,1017248454812.9032,1018154796387.0968,1020242430720.0,1016730545341.9355,1018220334893.4194,279703082.22175854
2016-07-27,1016212635870.9678,1016342113238.7097,1016471590606.4517,1017118977445.1613,1018025319019.3549,1020108954240.0,1016601067974.1936,1018090457614.4515,279703082.2217892
2016-07-28,1016083158503.2258,1016212635870.9678,1016342113238.7097,1016989500077.4193,1017895841651.6129,1019975477760.0,1016471590606.4515,1017960713639.2258,279703082.22181976
2016-07-29,1015953681135.4839,1016083158503.2258,1016212635870.9678,1016860022709.6774,1017766364283.871,1019842001280.0,1016342113238.7097,1017831102967.742,279703082.2218504
2016-07-30,1015824203767.742,1015953681135.4839,1016083158503.2258,1016730545341.9354,1017636886916.129,1019708524800.0,1016212635870.9678,1017701625600.0,279703082.22188103
2016-07-31,1015694726400.0,1015824203767.742,1015953681135.4839,1016601067974.1936,1017507409548.3871,1019579047432.258,1016083158503.2258,1017572148232.258,279703082.22188103
2016-08-01,1015559058890.3226,1015694726400.0,1015824203767.742,1016471590606.4517,1017377932180.6451,1019449570064.5161,1015952796829.493,1017442464526.4517,281141906.28180885
2016-08-02,1015423391380.6451,1015559058890.3226,1015694726400.0,1016342113238.7097,1017248454812.9032,1019320092696.7742,1015821550849.7697,1017312574482.5807,283539809.4437043
2016-08-03,1015287723870.9678,1015423391380.6451,1015559058890.3226,1016212635870.9678,1017118977445.1613,1019190615329.0322,1015689420564.0554,1017182478100.645,286409905.527873
2016-08-04,1015152056361.2903,1015287723870.9678,1015423391380.6451,1016083158503.2258,1016989500077.4193,1019061137961.2903,1015556405972.3502,1017052175380.6451,289270448.52320933
2016-08-05,1015016388851.6129,1015152056361.2903,1015287723870.9678,1015953681135.4839,1016860022709.6774,1018931660593.5483,1015422507074.6544,1016921666322.5807,291648443.09272146
2016-08-06,1014880721341.9354,1015016388851.6129,1015152056361.2903,1015824203767.742,1016730545341.9354,1018802183225.8064,1015287723870.9678,1016790950926.4515,293075317.14521813
2016-08-07,1014745053832.258,1014880721341.9354,1015016388851.6129,1015694726400.0,1016601067974.1936,1018672705858.0646,1015152056361.2903,1016660029192.258,293075317.14521813
2016-08-08,1014609386322.5807,1014745053832.258,1014880721341.9354,1015559058890.3226,1016471590606.4517,1018543228490.3226,1015016388851.613,1016528901120.0,293075317.14515686
2016-08-09,1014473718812.9032,1014609386322.5807,1014745053832.258,1015423391380.6451,1016342113238.7097,1018413751122.5807,1014880721341.9355,1016397566709.6774,293075317.1450957
2016-08-10,1014338051303.2258,1014473718812.9032,1014609386322.5807,1015287723870.9678,1016212635870.9678,1018284273754.8387,1014745053832.258,1016266025961.2904,293075317.1449897
2016-08-11,1014202383793.5483,1014338051303.2258,1014473718812.9032,1015152056361.2903,1016083158503.2258,1018154796387.0968,1014609386322.5807,1016134278874.8386,293075317.1449285
